topic,top_words
Topic 1,"account, day, card, paypal, cash, address, response, money, number, immediately"
Topic 2,"bank, account, card, check, money, charge, received, fraud, day, refund"
Topic 3,"credit, account, payment, report, late, reporting, score, balance, date, paid"
Topic 4,"told, called, payment, time, said, company, card, pay, phone, credit"
Topic 5,"credit, debt, letter, information, account, report, sent, dispute, company, reporting"
Topic 6,"account, charge, balance, opened, acct, dispute, citi, fraudulent, response, act"
Topic 7,"loan, mortgage, payment, home, month, tax, received, insurance, company, pay"
Topic 8,"claim, reporting, debt, collection, alleged, compliance, compliant, practice, plaintiff, document"
Topic 9,"consumer, information, agency, section, reporting, report, account, block, file, identity"
Topic 10,"credit, account, report, information, identity, inquiry, remove, item, theft, fraudulent"
