topic,top_words
Topic 1,"credit, information, reporting, report, bureau, inaccurate, consumer, agency, experian, dispute"
Topic 2,"card, bank, told, money, called, said, check, time, phone, number"
Topic 3,"account, open, remove, belong, fraudulent, opened, number, balance, closed, removed"
Topic 4,"debt, collection, company, letter, original, proof, owe, contract, validation, sent"
Topic 5,"day, dispute, deleted, sent, item, response, letter, immediately, demand, received"
Topic 6,"theft, identity, victim, fraudulent, affidavit, block, police, report, information, ftc"
Topic 7,"payment, late, loan, mortgage, paid, month, time, pay, day, fee"
Topic 8,"inquiry, credit, hard, report, unauthorized, authorize, add, authorized, removed, company"
Topic 9,"item, report, remove, pulled, unknown, couple, credit, thing, opened, decided"
Topic 10,"acct, charge, balance, opened, dispute, act, response, writing, requesting, request"
